[0:0],[0:1],[0:2],[1:0],[1:1],[1:2],[2:0],[2:1],[2:2],Move
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,4
X,_,_,_,Y,_,_,_,_,2
Y,_,Y,_,X,_,_,_,_,1
X,Y,X,_,Y,_,_,_,_,3
Y,X,Y,Y,X,_,_,_,_,6
X,Y,X,X,Y,_,Y,_,_,7
Y,X,Y,Y,X,_,X,Y,_,8
X,Y,X,X,Y,_,Y,X,Y,5
_,_,_,_,_,_,_,_,_,5
_,_,_,_,_,Y,_,_,_,4
_,_,_,_,Y,X,_,_,_,8
_,_,_,_,X,Y,_,_,Y,1
_,Y,_,_,Y,X,_,_,X,7
_,X,_,_,X,Y,_,Y,Y,2
_,Y,Y,_,Y,X,_,X,X,6
_,_,_,_,_,_,_,_,_,5
_,_,_,_,_,Y,_,_,_,4
_,_,_,_,Y,X,_,_,_,1
_,Y,_,_,X,Y,_,_,_,6
_,X,_,_,Y,X,Y,_,_,2
_,Y,Y,_,X,Y,X,_,_,0
Y,X,X,_,Y,X,Y,_,_,8
_,_,_,_,_,_,_,_,_,2
_,_,Y,_,_,_,_,_,_,3
_,_,X,Y,_,_,_,_,_,0
Y,_,Y,X,_,_,_,_,_,4
X,_,X,Y,Y,_,_,_,_,1
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,1
_,Y,_,_,X,_,_,_,_,2
_,X,Y,_,Y,_,_,_,_,5
_,Y,X,_,X,Y,_,_,_,6
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,4
X,_,_,_,Y,_,_,_,_,2
Y,_,Y,_,X,_,_,_,_,1
X,Y,X,_,Y,_,_,_,_,3
Y,X,Y,Y,X,_,_,_,_,6
X,Y,X,X,Y,_,Y,_,_,7
Y,X,Y,Y,X,_,X,Y,_,5
X,Y,X,X,Y,Y,Y,X,_,8
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,0
Y,_,_,_,X,_,_,_,_,3
X,_,_,Y,Y,_,_,_,_,6
Y,_,_,X,X,_,Y,_,_,5
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,0
Y,_,_,_,X,_,_,_,_,6
X,_,_,_,Y,_,Y,_,_,2
Y,_,Y,_,X,_,X,_,_,1
X,Y,X,_,Y,_,Y,_,_,7
Y,X,Y,_,X,_,X,Y,_,5
X,Y,X,_,Y,Y,Y,X,_,3
Y,X,Y,Y,X,X,X,Y,_,8
_,_,_,_,_,_,_,_,_,2
_,_,Y,_,_,_,_,_,_,0
Y,_,X,_,_,_,_,_,_,5
X,_,Y,_,_,Y,_,_,_,4
Y,_,X,_,Y,X,_,_,_,8
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,0
Y,_,_,_,X,_,_,_,_,2
X,_,Y,_,Y,_,_,_,_,5
Y,_,X,_,X,Y,_,_,_,6
