[0:0],[0:1],[0:2],[1:0],[1:1],[1:2],[2:0],[2:1],[2:2],Move
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,4
X,_,_,_,Y,_,_,_,_,2
Y,_,Y,_,X,_,_,_,_,1
X,Y,X,_,Y,_,_,_,_,3
Y,X,Y,Y,X,_,_,_,_,6
X,Y,X,X,Y,_,Y,_,_,7
Y,X,Y,Y,X,_,X,Y,_,8
X,Y,X,X,Y,_,Y,X,Y,5
_,_,_,_,_,_,_,_,_,8
_,_,_,_,_,_,_,_,Y,6
_,_,_,_,_,_,Y,_,X,0
Y,_,_,_,_,_,X,_,Y,4
X,_,_,_,Y,_,Y,_,X,2
Y,_,Y,_,X,_,X,_,Y,1
X,Y,X,_,Y,_,Y,_,X,7
Y,X,Y,_,X,_,X,Y,Y,5
X,Y,X,_,Y,Y,Y,X,X,3
_,_,_,_,_,_,_,_,_,7
_,_,_,_,_,_,_,Y,_,6
_,_,_,_,_,_,Y,X,_,0
Y,_,_,_,_,_,X,Y,_,4
X,_,_,_,Y,_,Y,X,_,2
Y,_,Y,_,X,_,X,Y,_,1
X,Y,X,_,Y,_,Y,X,_,5
Y,X,Y,_,X,Y,X,Y,_,8
X,Y,X,_,Y,X,Y,X,Y,3
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,0
Y,_,_,_,X,_,_,_,_,6
X,_,_,_,Y,_,Y,_,_,2
Y,_,Y,_,X,_,X,_,_,1
X,Y,X,_,Y,_,Y,_,_,7
Y,X,Y,_,X,_,X,Y,_,5
X,Y,X,_,Y,Y,Y,X,_,3
Y,X,Y,Y,X,X,X,Y,_,8
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,6
X,_,_,_,_,_,Y,_,_,1
Y,Y,_,_,_,_,X,_,_,2
X,X,Y,_,_,_,Y,_,_,4
Y,Y,X,_,Y,_,X,_,_,5
X,X,Y,_,X,Y,Y,_,_,3
Y,Y,X,Y,Y,X,X,_,_,8
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,4
X,_,_,_,Y,_,_,_,_,3
Y,_,_,Y,X,_,_,_,_,6
X,_,_,X,Y,_,Y,_,_,2
Y,_,Y,Y,X,_,X,_,_,1
X,Y,X,X,Y,_,Y,_,_,7
Y,X,Y,Y,X,_,X,Y,_,8
X,Y,X,X,Y,_,Y,X,Y,5
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,4
X,_,_,_,Y,_,_,_,_,2
Y,_,Y,_,X,_,_,_,_,1
X,Y,X,_,Y,_,_,_,_,3
Y,X,Y,Y,X,_,_,_,_,6
X,Y,X,X,Y,_,Y,_,_,7
Y,X,Y,Y,X,_,X,Y,_,5
X,Y,X,X,Y,Y,Y,X,_,8
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,1
X,Y,_,_,_,_,_,_,_,4
Y,X,_,_,Y,_,_,_,_,6
X,Y,_,_,X,_,Y,_,_,8
_,_,_,_,_,_,_,_,_,1
_,Y,_,_,_,_,_,_,_,4
_,X,_,_,Y,_,_,_,_,2
_,Y,Y,_,X,_,_,_,_,0
Y,X,X,_,Y,_,_,_,_,8
X,Y,Y,_,X,_,_,_,Y,3
Y,X,X,Y,Y,_,_,_,X,5
_,_,_,_,_,_,_,_,_,2
_,_,Y,_,_,_,_,_,_,4
_,_,X,_,Y,_,_,_,_,1
_,Y,Y,_,X,_,_,_,_,0
Y,X,X,_,Y,_,_,_,_,8
X,Y,Y,_,X,_,_,_,Y,3
Y,X,X,Y,Y,_,_,_,X,5
