[0:0],[0:1],[0:2],[1:0],[1:1],[1:2],[2:0],[2:1],[2:2],Move
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,0
Y,_,_,_,X,_,_,_,_,7
X,_,_,_,Y,_,_,Y,_,1
Y,Y,_,_,X,_,_,X,_,2
X,X,Y,_,Y,_,_,Y,_,6
Y,Y,X,_,X,_,Y,X,_,3
X,X,Y,Y,Y,_,X,Y,_,5
Y,Y,X,X,X,Y,Y,X,_,8
