,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.4302870750427246,0.03210886543370939,0.0040674924850463865,0.0008244630436746271,gini,11,"{'criterion': 'gini', 'max_depth': 11}",0.7551791232688566,0.7631910266681927,0.7589285714285714,0.7560389238694906,0.7562399816807878,0.7597618229703423,0.7607376016492956,0.7598808569137359,0.7589643716347806,0.7531217779814412,0.7582045116225811,0.0028488174235891937,20,0.7619380860890919,0.7613146208949907,0.7616739191286866,0.7619059736624467,0.7617817700646343,0.761453999516521,0.7615872975483149,0.7614661391076449,0.7615933639521125,0.7622549331433442,0.7616970103107787,0.00026497837660321137
1,0.4439267873764038,0.03171637405727208,0.0039682149887084964,0.0005863866875701879,gini,13,"{'criterion': 'gini', 'max_depth': 13}",0.7572393270001144,0.7631910266681927,0.7596153846153846,0.7558099599313108,0.7571559422944814,0.7614794457803733,0.7611957393196656,0.7594226142742582,0.7587352503150419,0.7546110665597434,0.7588457574716593,0.0025468607670071012,9,0.7622180092374639,0.7617090580586058,0.7620174568033183,0.7623004007888543,0.7620616825283729,0.7618229703423794,0.761879922136414,0.7618096461877075,0.7620259284233025,0.7625221053167263,0.7620367179823144,0.00023839090976920498
2,0.4410499811172485,0.03461039027584088,0.004216504096984863,0.0006750849500287494,gini,15,"{'criterion': 'gini', 'max_depth': 15}",0.7573537827629622,0.7631910266681927,0.7595009157509157,0.7558099599313108,0.7571559422944814,0.7614794457803733,0.7611957393196656,0.7593080536143888,0.7587352503150419,0.7544965058998739,0.7588228558341922,0.0025535416705456788,18,0.7622180092374639,0.7617090580586058,0.7620174568033183,0.7623004007888543,0.7620616825283729,0.7618229703423794,0.761879922136414,0.7618223686721542,0.7620259284233025,0.7625221053167263,0.7620379902307592,0.0002372066818841715
3,0.4395612239837646,0.020020716094683196,0.003968095779418946,0.0003133028457484912,gini,17,"{'criterion': 'gini', 'max_depth': 17}",0.7572393270001144,0.7631910266681927,0.7595009157509157,0.7559244419004006,0.7571559422944814,0.7614794457803733,0.7611957393196656,0.7594226142742582,0.7587352503150419,0.7546110665597434,0.7588457574716593,0.0025302116481612912,9,0.7622180092374639,0.7617090580586058,0.7620174568033183,0.7623004007888543,0.7620616825283729,0.7618229703423794,0.761879922136414,0.7618223686721542,0.7620259284233025,0.7625221053167263,0.7620379902307592,0.0002372066818841715
4,0.4444220304489136,0.030203465835875583,0.004118180274963379,0.0004449845848551296,gini,19,"{'criterion': 'gini', 'max_depth': 19}",0.7572393270001144,0.7631910266681927,0.7595009157509157,0.7560389238694906,0.7571559422944814,0.7614794457803733,0.7611957393196656,0.7591934929545194,0.7588498109749112,0.7544965058998739,0.7588343066529257,0.002532221825978759,14,0.7622180092374639,0.7617090580586058,0.7620174568033183,0.7623004007888543,0.7620616825283729,0.7618229703423794,0.761879922136414,0.7618223686721542,0.7620259284233025,0.7625221053167263,0.7620379902307592,0.0002372066818841715
5,0.436635422706604,0.02506534649165924,0.0037698268890380858,0.0003970037878530837,gini,21,"{'criterion': 'gini', 'max_depth': 21}",0.7572393270001144,0.7631910266681927,0.7595009157509157,0.7560389238694906,0.7571559422944814,0.7614794457803733,0.7611957393196656,0.7591934929545194,0.7588498109749112,0.7546110665597434,0.7588457574716593,0.0025127644791768313,9,0.7622180092374639,0.7617090580586058,0.7620174568033183,0.7623004007888543,0.7620616825283729,0.7618229703423794,0.761879922136414,0.7618223686721542,0.7620259284233025,0.7625221053167263,0.7620379902307592,0.0002372066818841715
6,0.4582244873046875,0.02534986371000519,0.003918218612670899,0.0004678975008084362,gini,23,"{'criterion': 'gini', 'max_depth': 23}",0.7572393270001144,0.7631910266681927,0.7596153846153846,0.7559244419004006,0.7571559422944814,0.7614794457803733,0.7611957393196656,0.7593080536143888,0.7588498109749112,0.7544965058998739,0.7588457574716593,0.0025501884204902,9,0.7622180092374639,0.7617090580586058,0.7620174568033183,0.7623004007888543,0.7620616825283729,0.7618229703423794,0.761879922136414,0.7618223686721542,0.7620259284233025,0.7625221053167263,0.7620379902307592,0.0002372066818841715
7,0.44690258502960206,0.026205489624888518,0.004265618324279785,0.0006728661798673828,gini,25,"{'criterion': 'gini', 'max_depth': 25}",0.7573537827629622,0.7631910266681927,0.7595009157509157,0.7559244419004006,0.7571559422944814,0.7614794457803733,0.7611957393196656,0.7593080536143888,0.7587352503150419,0.7544965058998739,0.7588343066529257,0.002540227274191436,14,0.7622180092374639,0.7617090580586058,0.7620174568033183,0.7623004007888543,0.7620616825283729,0.7618229703423794,0.761879922136414,0.7618223686721542,0.7620259284233025,0.7625221053167263,0.7620379902307592,0.0002372066818841715
8,0.4484401226043701,0.025628480180331602,0.004116511344909668,0.0003874512219222884,gini,27,"{'criterion': 'gini', 'max_depth': 27}",0.7573537827629622,0.7631910266681927,0.7595009157509157,0.7560389238694906,0.7571559422944814,0.7614794457803733,0.7611957393196656,0.7594226142742582,0.7588498109749112,0.7544965058998739,0.7588686591091263,0.0025293179739721535,4,0.7622180092374639,0.7617090580586058,0.7620174568033183,0.7623004007888543,0.7620616825283729,0.7618229703423794,0.761879922136414,0.7618223686721542,0.7620259284233025,0.7625221053167263,0.7620379902307592,0.0002372066818841715
9,0.4423393487930298,0.025808959302642397,0.0052084684371948246,0.002773289053378791,gini,29,"{'criterion': 'gini', 'max_depth': 29}",0.7571248712372668,0.7631910266681927,0.7593864468864469,0.7561534058385804,0.7571559422944814,0.7614794457803733,0.761310273737258,0.7593080536143888,0.7587352503150419,0.7544965058998739,0.7588343066529257,0.002537559599287613,14,0.7622180092374639,0.7617090580586058,0.7620174568033183,0.7623004007888543,0.7620616825283729,0.7618229703423794,0.761879922136414,0.7618223686721542,0.7620259284233025,0.7625221053167263,0.7620379902307592,0.0002372066818841715
